MatchType;MatchValue;IDE;Target;Publisher;ExtensionId;DisplayName;LatestVersion;InstallCount;AverageRating;RatingCount;MarketplaceTags;MarketplaceUrl
Tag;ai;VSCode;Microsoft.VisualStudio.Code;Cursor;cursor;­­­­Cursor;1.0.0;2576;;;;https://marketplace.visualstudio.com/items?itemName=Cursor.cursor
Tag;ai;VSCode;Microsoft.VisualStudio.Code;CursorFit;cursorfit-ai;CursorFit AI;1.0.8;26;;;;https://marketplace.visualstudio.com/items?itemName=CursorFit.cursorfit-ai
Tag;ai;VSCode;Microsoft.VisualStudio.Code;CursorFitDeveloper;cursorfit;CursorFit;1.0.0;8;5;1;;https://marketplace.visualstudio.com/items?itemName=CursorFitDeveloper.cursorfit
Category;AI;VSCode;Microsoft.VisualStudio.Code;CursorFree;cursor-free;Cursor Free;1.4.1;3254;5;1;;https://marketplace.visualstudio.com/items?itemName=CursorFree.cursor-free
Tag;ai;VSCode;Microsoft.VisualStudio.Code;CursorFree;cursor-free;Cursor Free;1.4.1;3267;5;1;;https://marketplace.visualstudio.com/items?itemName=CursorFree.cursor-free
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;CursorFree;cursor-free;Cursor Free;1.4.1;3267;5;1;;https://marketplace.visualstudio.com/items?itemName=CursorFree.cursor-free
Tag;claude;VSCode;Microsoft.VisualStudio.Code;CursorFree;cursor-free;Cursor Free;1.4.1;3267;5;1;;https://marketplace.visualstudio.com/items?itemName=CursorFree.cursor-free
Tag;copilot;VSCode;Microsoft.VisualStudio.Code;CursorFree;cursor-free;Cursor Free;1.4.1;3277;5;1;;https://marketplace.visualstudio.com/items?itemName=CursorFree.cursor-free
Tag;mistral;VSCode;Microsoft.VisualStudio.Code;CursorFree;cursor-free;Cursor Free;1.4.1;3268;5;1;;https://marketplace.visualstudio.com/items?itemName=CursorFree.cursor-free
Category;AI;VSCode;Microsoft.VisualStudio.Code;Cx330-502;aidiff;AiDiff Helper;0.0.4;17;;;;https://marketplace.visualstudio.com/items?itemName=Cx330-502.aidiff
Category;AI;VSCode;Microsoft.VisualStudio.Code;CyberEducationCenter;AIVY;AIVY Learning Assistant by the Cyber Education Center;1.0.3;547;;;;https://marketplace.visualstudio.com/items?itemName=CyberEducationCenter.AIVY
Category;AI;VSCode;Microsoft.VisualStudio.Code;DBCode;dbcode;DBCode - Database Management;1.26.8;120826;4,721311569;61;;https://marketplace.visualstudio.com/items?itemName=DBCode.dbcode
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DEVSENSE;intelli-php-vscode;IntelliPHP - AI Autocomplete for PHP;0.12.17700;5099038;3,5;16;;https://marketplace.visualstudio.com/items?itemName=DEVSENSE.intelli-php-vscode
Category;AI;VSCode;Microsoft.VisualStudio.Code;DLabs;promptify;Promptify;0.2.0;11;;;;https://marketplace.visualstudio.com/items?itemName=DLabs.promptify
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DLabs;promptify;Promptify;0.2.0;11;;;;https://marketplace.visualstudio.com/items?itemName=DLabs.promptify
Category;AI;VSCode;Microsoft.VisualStudio.Code;DMN-sohan;codeplusplus;Code++ | AI-powered code completion;1.0.2;86;;;;https://marketplace.visualstudio.com/items?itemName=DMN-sohan.codeplusplus
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DOF;pvf-code;PVF Code;1.1.3;596;;;;https://marketplace.visualstudio.com/items?itemName=DOF.pvf-code
Category;AI;VSCode;Microsoft.VisualStudio.Code;DSAI;dsai-cline;DSAI-cline(中英文双语版);1.1.2;1843;5;1;;https://marketplace.visualstudio.com/items?itemName=DSAI.dsai-cline
Tag;ai;VSCode;Microsoft.VisualStudio.Code;DSAI;dsai-cline;DSAI-cline(中英文双语版);1.1.2;1843;5;1;;https://marketplace.visualstudio.com/items?itemName=DSAI.dsai-cline
Tag;chatgpt;VSCode;Microsoft.VisualStudio.Code;DSAI;dsai-cline;DSAI-cline(中英文双语版);1.1.2;1844;5;1;;https://marketplace.visualstudio.com/items?itemName=DSAI.dsai-cline
Tag;claude;VSCode;Microsoft.VisualStudio.Code;DSAI;dsai-cline;DSAI-cline(中英文双语版);1.1.2;1844;5;1;;https://marketplace.visualstudio.com/items?itemName=DSAI.dsai-cline
